date,capture,lens,model,run,contract_pass,recall,caught,planted,hallucinations,out_of_lens,band_ok,band_judged,n_findings,score,cost_usd,seconds,results_dir
2026-09-11T0351Z,product,bugs,sonnet,1,1,1.0,4,4,0,0,2,4,3,1,0.772,242.7,results/smoke-product
2026-09-11T0351Z,site,clarity,opus,1,1,1.0,3,3,0,0,3,3,8,3,1.7569,282.2,results/smoke-site
2026-09-11T0621Z,site,trust,opus,1,1,1.0,4,4,0,0,4,4,7,3,1.9105,309.5,results/smoke-site
2026-09-11T0935Z,site,aeo,sonnet,1,1,1.0,3,3,0,0,2,3,5,4,0.9329,201.6,results/2026-09-11T0935Z
2026-09-11T0935Z,site,clarity,opus,1,1,0.667,2,3,0,0,0,0,8,2,1.6055,203.6,results/2026-09-11T0935Z
2026-09-11T0935Z,site,conversion,opus,1,1,0.6,3,5,0,0,1,3,5,2,1.4958,206.5,results/2026-09-11T0935Z
2026-09-11T0935Z,site,seo,sonnet,1,1,1.0,7,7,0,0,4,7,9,3,0.5632,160.4,results/2026-09-11T0935Z
2026-09-11T0935Z,site,technical,sonnet,1,1,1.0,4,4,0,0,4,4,4,6,0.4899,135.3,results/2026-09-11T0935Z
2026-09-11T0935Z,site,trust,opus,1,1,1.0,4,4,0,0,4,4,9,4,2.0174,286.4,results/2026-09-11T0935Z
2026-09-11T0954Z,product,bugs,sonnet,1,1,0.75,3,4,0,0,2,3,3,1,0.7194,361.2,results/baseline-x3-product
2026-09-11T0954Z,product,bugs,sonnet,2,1,1.0,4,4,0,1,1,4,3,2,0.5634,233.4,results/baseline-x3-product
2026-09-11T0954Z,product,bugs,sonnet,3,1,1.0,4,4,0,0,1,3,3,2,0.6713,488.7,results/baseline-x3-product
2026-09-11T0954Z,product,content,opus,1,1,1.0,4,4,0,0,0,0,10,2,2.2591,616.6,results/baseline-x3-product
2026-09-11T0954Z,product,content,opus,2,1,1.0,4,4,0,0,0,0,9,2,2.2389,625.0,results/baseline-x3-product
2026-09-11T0954Z,product,content,opus,3,1,1.0,4,4,0,0,2,4,10,2,2.0224,597.8,results/baseline-x3-product
2026-09-11T0954Z,product,onboarding,opus,1,1,1.0,2,2,0,0,0,0,7,2,2.2394,576.6,results/baseline-x3-product
2026-09-11T0954Z,product,onboarding,opus,2,1,1.0,2,2,0,0,0,0,7,1,2.5049,778.4,results/baseline-x3-product
2026-09-11T0954Z,product,onboarding,opus,3,1,1.0,2,2,0,0,2,2,6,2,1.8343,571.5,results/baseline-x3-product
2026-09-11T0954Z,product,ux,opus,1,1,1.0,5,5,0,0,2,5,10,2,2.3839,385.9,results/baseline-x3-product
2026-09-11T0954Z,product,ux,opus,2,1,1.0,5,5,0,0,0,0,9,2,2.1156,342.9,results/baseline-x3-product
2026-09-11T0954Z,product,ux,opus,3,1,1.0,5,5,0,0,0,0,9,2,2.0628,474.4,results/baseline-x3-product
2026-09-11T0954Z,site,aeo,sonnet,1,1,1.0,3,3,0,0,2,3,6,4,0.7667,235.1,results/baseline-x3-site
2026-09-11T0954Z,site,aeo,sonnet,2,1,1.0,3,3,0,0,2,3,5,5,0.6444,362.7,results/baseline-x3-site
2026-09-11T0954Z,site,aeo,sonnet,3,1,1.0,3,3,0,0,3,3,6,3,0.6347,481.7,results/baseline-x3-site
2026-09-11T0954Z,site,clarity,opus,1,1,1.0,3,3,0,0,0,0,9,2,2.0944,572.2,results/baseline-x3-site
2026-09-11T0954Z,site,clarity,opus,2,1,1.0,3,3,0,0,0,0,11,3,1.6813,316.2,results/baseline-x3-site
2026-09-11T0954Z,site,clarity,opus,3,1,1.0,3,3,0,0,0,0,10,2,1.7577,445.3,results/baseline-x3-site
2026-09-11T0954Z,site,conversion,opus,1,1,1.0,5,5,0,0,3,5,8,2,1.6582,301.6,results/baseline-x3-site
2026-09-11T0954Z,site,conversion,opus,2,1,1.0,5,5,0,0,4,5,8,2,1.9369,692.6,results/baseline-x3-site
2026-09-11T0954Z,site,conversion,opus,3,1,0.8,4,5,0,0,4,4,7,2,1.5636,180.7,results/baseline-x3-site
2026-09-11T0954Z,site,seo,sonnet,1,1,1.0,7,7,0,0,6,7,9,4,0.5797,358.2,results/baseline-x3-site
2026-09-11T0954Z,site,seo,sonnet,2,1,1.0,7,7,0,0,5,7,9,3,0.7011,261.2,results/baseline-x3-site
2026-09-11T0954Z,site,seo,sonnet,3,1,1.0,7,7,0,0,4,7,9,3,0.5651,226.0,results/baseline-x3-site
2026-09-11T0954Z,site,technical,sonnet,1,1,1.0,4,4,0,0,4,4,4,6,0.5671,354.3,results/baseline-x3-site
2026-09-11T0954Z,site,technical,sonnet,2,1,1.0,4,4,0,0,3,3,4,6,0.5757,357.7,results/baseline-x3-site
2026-09-11T0954Z,site,technical,sonnet,3,1,1.0,4,4,0,0,0,0,5,5,0.5836,227.7,results/baseline-x3-site
2026-09-11T0954Z,site,trust,opus,1,1,1.0,4,4,0,0,4,4,8,3,2.3867,588.1,results/baseline-x3-site
2026-09-11T0954Z,site,trust,opus,2,1,1.0,4,4,0,0,3,4,8,3,1.8114,346.4,results/baseline-x3-site
2026-09-11T0954Z,site,trust,opus,3,1,1.0,4,4,0,0,0,0,8,3,1.8841,448.1,results/baseline-x3-site
2026-09-11T0957Z,product,bugs,sonnet,1,1,1.0,4,4,0,1,2,4,3,2,0.8071,183.3,results/2026-09-11T0957Z
2026-09-11T0957Z,product,content,opus,1,1,1.0,4,4,0,0,3,4,10,3,1.6561,223.9,results/2026-09-11T0957Z
2026-09-11T0957Z,product,onboarding,opus,1,1,1.0,2,2,0,0,1,2,8,2,1.7007,257.6,results/2026-09-11T0957Z
2026-09-11T0957Z,product,ux,opus,1,1,1.0,5,5,0,0,4,5,10,2,1.7092,234.7,results/2026-09-11T0957Z
2026-09-15T0931Z,site,clarity,opus,1,1,0.667,2,3,0,0,1,2,8,3,1.9048,222.0,results/2026-09-15T0931Z
